"","title","UserRating","Genre"
"1","Avengers: Endgame",66679,"Action & Adventure, Drama, Science Fiction & Fantasy"
"2","Us",11243,"Horror, Mystery & Suspense"
"3","Toy Story 4",53123,"Animation, Comedy, Kids & Family, Science Fiction & Fantasy"
"4","Parasite (Gisaengchung)",2448,"Art House & International, Drama"
"5","The Farewell",2483,"Comedy, Drama"
"6","Booksmart",4111,"Comedy"
"7","The Irishman",918,"Drama, Mystery & Suspense"
"8","If Beale Street Could Talk",2316,"Drama, Romance"
"9","Spider-Man: Far From Home",69202,"Action & Adventure, Science Fiction & Fantasy"
"10","Once Upon a Time In Hollywood",26174,"Comedy, Drama"
"11","Knives Out",5959,"Drama, Mystery & Suspense"
"12","Pain and Glory (Dolor y gloria)",260,"Drama"
"13","Shazam!",15403,"Action & Adventure, Science Fiction & Fantasy"
"14","A Beautiful Day in the Neighborhood",5389,"Drama"
"15","Marriage Story",124,"Drama"
"16","Apollo 11",829,"Documentary"
"17","They Shall Not Grow Old",1969,"Art House & International, Documentary"
"18","Rocketman",21644,"Drama"
"19","Dolemite Is My Name",113,"Drama"
"20","John Wick: Chapter 3 - Parabellum",37174,"Action & Adventure, Drama"
"21","Ash Is Purest White",133,"Drama, Romance"
"22","Amazing Grace",270,"Documentary, Musical & Performing Arts"
"23","The Lighthouse",1866,"Drama, Horror, Science Fiction & Fantasy"
"24","Ford v Ferrari",15188,"Action & Adventure, Drama"
"25","Knock Down the House",2715,"Documentary"
"26","The Peanut Butter Falcon",4696,"Action & Adventure, Drama"
"27","One Cut of the Dead (Kamera o tomeru na!)",77,"Art House & International, Comedy, Horror"
"28","Birds of Passage (Pajaros de verano)",413,"Drama"
"29","How to Train Your Dragon: The Hidden World",55771,"Action & Adventure, Animation, Kids & Family"
"30","Maiden",213,"Documentary"
"31","Hustlers",16599,"Drama"
"32","Honeyland",100,"Documentary"
"33","Stan & Ollie",1858,"Comedy, Drama"
"34","Captain Marvel",93342,"Action & Adventure, Science Fiction & Fantasy"
"35","The Chambermaid (La camarista)",41,"Art House & International, Drama"
"36","Portrait of a Lady on Fire (Portrait de la jeune fille en feu)",NA,"Drama"
"37","3 Faces",30,"Art House & International, Drama"
"38","Fighting with My Family",3343,"Comedy"
"39","For Sama",47,"Documentary"
"40","Woman at War (Kona fer i stri©£)",135,"Action & Adventure, Art House & International, Mystery & Suspense"
"41","The Last Black Man in San Francisco",505,"Drama"
"42","Chained for Life",19,"Drama"
"43","One Child Nation",67,"Documentary"
"44","Tigers Are Not Afraid (Vuelven)",192,"Art House & International, Drama, Horror, Science Fiction & Fantasy"
"45","Ad Astra",10158,"Mystery & Suspense, Science Fiction & Fantasy"
"46","Hail Satan?",259,"Documentary"
"47","Transit",119,"Art House & International, Drama"
"48","Wild Rose",168,"Comedy, Drama"
"49","Atlantics",NA,"Drama, Romance"
"50","Ready or Not",5333,"Horror, Mystery & Suspense"
"51","Varda by Agnes",NA,"Documentary"
"52","Blinded by the Light",2633,"Comedy, Drama"
"53","Deadwood: The Movie",18,"Drama, Western"
"54","The Heiresses (Las Herederas)",270,"Drama"
"55","Too Late to Die Young (Tarde para morir joven)",9,"Art House & International, Drama"
"56","Gloria Bell",528,"Comedy, Romance"
"57","Little Woods",176,"Drama"
"58","Making Waves: The Art of Cinematic Sound",11,"Documentary"
"59","Midsommar",5226,"Horror"
"60","Rojo",21,"Drama, Mystery & Suspense"
"61","American Factory",182,"Documentary"
"62","Homecoming: A Film by Beyonce",NA,"Documentary, Musical & Performing Arts"
"63","Little Women",NA,"Drama"
"64","Honey Boy",195,"Drama"
"65","The Mustang",358,"Drama"
"66","First Love (Hatsukoi)",31,"Action & Adventure, Drama, Mystery & Suspense"
"67","Clemency",NA,"Drama"
"68","Toni Morrison: The Pieces I Am",47,"Documentary"
"69","Be Natural: The Untold Story of Alice Guy-Blache",160,"Documentary"
"70","In Fabric",NA,"Comedy, Horror"
"71","By the Grace of God (Grace a Dieu)",12,"Drama"
"72","The LEGO Movie 2: The Second Part",28273,"Animation, Comedy"
"73","Monos",32,"Drama"
"74","Love, Antosha",35,"Documentary"
"75","Harpoon",32,"Art House & International, Comedy, Horror"
"76","Shadow",270,"Action & Adventure, Art House & International, Drama"
"77","An Elephant Sitting Still (Da xiang xi di er zuo)",83,"Art House & International, Drama"
"78","Ray & Liz",NA,"Art House & International, Drama"
"79","The Kid Who Would Be King",1303,"Action & Adventure, Kids & Family, Science Fiction & Fantasy"
"80","Mike Wallace Is Here",7,"Documentary"
"81","Dark Waters",143,"Drama"
"82","Uncut Gems",NA,"Drama"
"83","The Souvenir",405,"Drama"
"84","The Wild Pear Tree (Ahlat agaci)",296,"Drama"
"85","Brittany Runs a Marathon",1337,"Comedy, Drama"
"86","Ask Dr. Ruth",47,"Documentary"
"87","Diane",52,"Drama"
"88","Sword of Trust",111,"Drama"
"89","Rafiki",36,"Art House & International, Drama"
"90","Luce",283,"Drama, Mystery & Suspense"
"91","High Flying Bird",NA,"Drama"
"92","The Nightingale",30,"Drama"
"93","Judy",5731,"Drama, Musical & Performing Arts"
"94","El Camino: A Breaking Bad Movie",4011,"Drama, Mystery & Suspense, Television"
"95","Missing Link",580,"Action & Adventure, Animation, Comedy"
"96","Long Day's Journey Into Night (Di qiu zui hou de ye wan)",68,"Art House & International, Drama, Mystery & Suspense"
"97","Miles Davis: Birth of the Cool",10,"Documentary"
"98","David Crosby: Remember My Name",60,"Documentary"
"99","Raise Hell: The Life & Times of Molly Ivins",33,"Documentary"
"100","Downton Abbey",20208,"Drama"
